workload,input,output_tokens,mapping_group,mapping,metric,stat,value,unit
Baseline,512x512,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,avg,842.4,ms
Baseline,512x512,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p90,853.8,ms
Baseline,512x512,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p99,866.8,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,avg,872.3,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p90,905.5,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p99,913.2,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,avg,942.9,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p90,972.6,ms
Baseline,512x512,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p99,1172.9,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"AGG (1xA100)",Request Latency,avg,2883.1,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"AGG (1xA100)",Request Latency,p90,2982.6,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"AGG (1xA100)",Request Latency,p99,3089.1,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,avg,3083.6,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,p90,3227.3,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,p99,4622.9,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,avg,2827.0,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,p90,4214.1,ms
Encoder-heavy,2048x2048,64,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,p99,4446.2,ms
