host,timestamp,gpu_index,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001096,2026/04/30 21:20:39.134, 3, 36069, 40960, 4, 107.54, 33
nid001097,2026/04/30 21:20:39.989, 0, 36839, 40960, 15, 101.80, 36
nid001097,2026/04/30 21:20:39.993, 1, 36833, 40960, 20, 103.04, 34
nid001097,2026/04/30 21:20:39.995, 2, 36833, 40960, 11, 101.92, 34
nid001097,2026/04/30 21:20:39.997, 3, 36833, 40960, 5, 106.54, 33
nid001096,2026/04/30 21:20:42.993, 0, 36133, 40960, 15, 98.82, 36
nid001096,2026/04/30 21:20:42.996, 1, 36069, 40960, 21, 103.84, 33
nid001096,2026/04/30 21:20:42.997, 2, 36069, 40960, 9, 120.88, 35
nid001096,2026/04/30 21:20:42.999, 3, 36069, 40960, 21, 107.30, 32
nid001097,2026/04/30 21:20:43.893, 0, 36839, 40960, 0, 102.79, 35
nid001097,2026/04/30 21:20:43.900, 1, 36833, 40960, 0, 103.04, 33
nid001097,2026/04/30 21:20:43.905, 2, 36833, 40960, 0, 101.68, 34
nid001097,2026/04/30 21:20:43.910, 3, 36833, 40960, 100, 106.54, 33
nid001096,2026/04/30 21:20:46.911, 0, 36133, 40960, 11, 99.63, 36
nid001096,2026/04/30 21:20:46.921, 1, 36069, 40960, 7, 167.88, 33
nid001096,2026/04/30 21:20:46.929, 2, 36069, 40960, 18, 101.68, 35
nid001096,2026/04/30 21:20:46.930, 3, 36069, 40960, 4, 107.83, 33
nid001097,2026/04/30 21:20:47.792, 0, 36839, 40960, 13, 103.32, 36
nid001097,2026/04/30 21:20:47.795, 1, 36833, 40960, 23, 103.33, 34
nid001097,2026/04/30 21:20:47.799, 2, 36833, 40960, 6, 132.70, 34
nid001097,2026/04/30 21:20:47.800, 3, 36833, 40960, 9, 172.17, 34
nid001096,2026/04/30 21:20:50.777, 0, 36133, 40960, 4, 98.82, 36
nid001096,2026/04/30 21:20:50.780, 1, 36069, 40960, 7, 104.37, 33
nid001096,2026/04/30 21:20:50.782, 2, 36069, 40960, 9, 101.39, 35
nid001096,2026/04/30 21:20:50.784, 3, 36069, 40960, 6, 107.54, 32
nid001097,2026/04/30 21:20:51.701, 0, 36839, 40960, 33, 104.84, 36
nid001097,2026/04/30 21:20:51.704, 1, 36833, 40960, 45, 104.33, 34
nid001097,2026/04/30 21:20:51.706, 2, 36833, 40960, 26, 101.92, 34
nid001097,2026/04/30 21:20:51.708, 3, 36833, 40960, 48, 106.54, 34
nid001096,2026/04/30 21:20:54.910, 0, 36133, 40960, 4, 98.82, 36
nid001096,2026/04/30 21:20:54.913, 1, 36069, 40960, 5, 104.08, 33
nid001096,2026/04/30 21:20:54.915, 2, 36069, 40960, 13, 101.51, 35
nid001096,2026/04/30 21:20:54.917, 3, 36069, 40960, 8, 107.30, 32
nid001097,2026/04/30 21:20:55.923, 0, 36839, 40960, 57, 105.12, 36
nid001097,2026/04/30 21:20:55.926, 1, 36833, 40960, 26, 103.33, 34
nid001097,2026/04/30 21:20:55.928, 2, 36833, 40960, 35, 102.20, 34
nid001097,2026/04/30 21:20:55.931, 3, 36833, 40960, 27, 106.78, 34
nid001096,2026/04/30 21:20:58.955, 0, 36133, 40960, 6, 98.82, 36
nid001096,2026/04/30 21:20:58.958, 1, 36069, 40960, 4, 104.08, 34
nid001096,2026/04/30 21:20:58.960, 2, 36069, 40960, 0, 101.51, 35
nid001096,2026/04/30 21:20:58.961, 3, 36069, 40960, 8, 135.54, 33
nid001097,2026/04/30 21:20:59.821, 0, 36839, 40960, 38, 102.79, 36
nid001097,2026/04/30 21:20:59.824, 1, 36833, 40960, 15, 103.33, 34
nid001097,2026/04/30 21:20:59.825, 2, 36833, 40960, 29, 177.41, 34
nid001097,2026/04/30 21:20:59.827, 3, 36833, 40960, 31, 148.10, 34
nid001096,2026/04/30 21:21:02.756, 0, 36133, 40960, 4, 99.10, 36
nid001096,2026/04/30 21:21:02.759, 1, 36069, 40960, 13, 104.08, 33
nid001096,2026/04/30 21:21:02.761, 2, 36069, 40960, 7, 101.39, 35
nid001096,2026/04/30 21:21:02.762, 3, 36069, 40960, 15, 107.54, 33
nid001097,2026/04/30 21:21:03.645, 0, 36839, 40960, 25, 102.79, 36
nid001097,2026/04/30 21:21:03.650, 1, 36833, 40960, 31, 103.33, 34
nid001097,2026/04/30 21:21:03.652, 2, 36833, 40960, 32, 172.57, 34
nid001097,2026/04/30 21:21:03.654, 3, 36833, 40960, 33, 145.77, 34
nid001096,2026/04/30 21:21:06.622, 0, 36133, 40960, 8, 100.39, 36
nid001096,2026/04/30 21:21:06.626, 1, 36069, 40960, 24, 104.08, 33
nid001096,2026/04/30 21:21:06.628, 2, 36069, 40960, 7, 101.92, 35
nid001096,2026/04/30 21:21:06.630, 3, 36069, 40960, 15, 107.83, 33
nid001097,2026/04/30 21:21:07.563, 0, 36839, 40960, 34, 102.79, 36
nid001097,2026/04/30 21:21:07.566, 1, 36833, 40960, 38, 103.85, 34
nid001097,2026/04/30 21:21:07.568, 2, 36833, 40960, 20, 102.67, 34
nid001097,2026/04/30 21:21:07.569, 3, 36833, 40960, 47, 170.93, 34
nid001096,2026/04/30 21:21:10.644, 0, 36157, 40960, 13, 100.63, 36
nid001096,2026/04/30 21:21:10.648, 1, 36093, 40960, 10, 104.37, 33
nid001096,2026/04/30 21:21:10.653, 2, 36093, 40960, 12, 102.28, 36
nid001096,2026/04/30 21:21:10.655, 3, 36093, 40960, 18, 108.30, 33
nid001097,2026/04/30 21:21:11.575, 0, 36839, 40960, 15, 109.22, 36
nid001097,2026/04/30 21:21:11.578, 1, 36833, 40960, 7, 137.75, 34
nid001097,2026/04/30 21:21:11.580, 2, 36833, 40960, 4, 104.24, 34
nid001097,2026/04/30 21:21:11.582, 3, 36833, 40960, 1, 107.54, 34
nid001096,2026/04/30 21:21:14.681, 0, 36157, 40960, 9, 98.82, 36
nid001096,2026/04/30 21:21:14.693, 1, 36093, 40960, 12, 104.08, 33
nid001096,2026/04/30 21:21:14.697, 2, 36093, 40960, 5, 101.80, 36
nid001096,2026/04/30 21:21:14.699, 3, 36093, 40960, 10, 107.83, 32
nid001097,2026/04/30 21:21:15.623, 0, 36839, 40960, 11, 126.73, 36
nid001097,2026/04/30 21:21:15.626, 1, 36833, 40960, 9, 130.60, 34
nid001097,2026/04/30 21:21:15.628, 2, 36833, 40960, 28, 156.91, 34
nid001097,2026/04/30 21:21:15.630, 3, 36833, 40960, 23, 124.69, 34
nid001096,2026/04/30 21:21:18.499, 0, 36157, 40960, 4, 98.82, 36
nid001096,2026/04/30 21:21:18.502, 1, 36093, 40960, 12, 161.76, 33
nid001096,2026/04/30 21:21:18.503, 2, 36093, 40960, 11, 101.39, 35
nid001096,2026/04/30 21:21:18.505, 3, 36093, 40960, 9, 107.54, 33
nid001097,2026/04/30 21:21:19.641, 0, 36839, 40960, 28, 102.04, 36
nid001097,2026/04/30 21:21:19.644, 1, 36833, 40960, 17, 105.62, 34
nid001097,2026/04/30 21:21:19.646, 2, 36833, 40960, 24, 102.43, 34
nid001097,2026/04/30 21:21:19.648, 3, 36833, 40960, 17, 106.54, 34
nid001096,2026/04/30 21:21:22.771, 0, 36157, 40960, 0, 98.82, 36
nid001096,2026/04/30 21:21:22.776, 1, 36093, 40960, 0, 103.84, 33
nid001096,2026/04/30 21:21:22.778, 2, 36093, 40960, 0, 101.27, 35
nid001096,2026/04/30 21:21:22.779, 3, 36093, 40960, 0, 107.30, 32
nid001097,2026/04/30 21:21:23.686, 0, 36839, 40960, 0, 102.79, 36
nid001097,2026/04/30 21:21:23.689, 1, 36833, 40960, 0, 103.04, 33
nid001097,2026/04/30 21:21:23.691, 2, 36833, 40960, 0, 101.92, 34
nid001097,2026/04/30 21:21:23.692, 3, 36833, 40960, 0, 106.54, 33
